Area_SqFt,Bedrooms,Bathrooms,Location,Year_Built,Parking,Floors,Amenities,Price
2516.0,3,3.0,Suburbs,1973.0,Yes,4,Standard,68630071.15303321
2650.0,3,3.0,Uptown,2024.0,Yes,2,Standard,78521767.62644856
3529.0,6,5.0,Rural,2018.0,No,3,Basic,89445095.3415035
3352.0,4,3.0,Downtown,1995.0,Yes,3,Basic,85872466.08275455
3106.0,1,1.0,Rural,1997.0,No,1,Basic,54115071.27071755
6098.0,3,3.0,Downtown,2004.0,No,2,Standard,130334171.6131087
5920.0,4,3.0,Suburbs,1973.0,Yes,3,Basic,109972373.84585893
5277.0,3,3.5,Suburbs,1994.0,No,3,Standard,106488817.61018085
1296.0,4,4.0,Uptown,1981.0,Yes,2,Basic,55101107.157456845
2071.0,5,5.0,Waterfront,1970.0,Yes,2,Standard,87681505.4307191
6582.0,1,1.0,Uptown,1998.0,Yes,1,Basic,112186339.0880453
7646.0,4,4.0,Uptown,1994.0,Yes,1,Basic,141850193.43125445
2356.0,5,5.0,Uptown,1978.0,Yes,4,Standard,81486241.4313828
3160.0,1,1.0,Uptown,1956.0,Yes,3,Basic,64292793.04065287
5943.0,4,4.0,Suburbs,2003.0,Yes,1,Standard,118610740.91499788
1450.0,1,1.0,Downtown,1964.0,No,3,Basic,43061865.600783296
5605.0,4,4.0,Downtown,2017.0,Yes,1,Standard,130057372.4416146
6640.0,2,1.0,Downtown,1991.0,Yes,4,Basic,130670308.51585074
6583.0,2,2.0,Suburbs,1968.0,Yes,1,Standard,112667348.86221768
2656.0,3,2.0,Downtown,1965.0,Yes,3,Standard,75301730.52325945
3324.0,6,5.0,Suburbs,2006.0,Yes,3,Basic,94707339.69920313
3273.0,5,4.5,Uptown,1995.0,Yes,3,Standard,95214455.37712991
4595.0,6,5.0,Waterfront,1973.0,Yes,4,Standard,130021561.16603291
5290.0,3,3.0,Suburbs,1960.0,Yes,3,Basic,101055622.97790228
7767.0,6,5.0,Suburbs,2022.0,Yes,1,Standard,1291651786.2263486
1463.0,4,4.5,Downtown,1994.0,Yes,1,Basic,62931469.94576301
1314.0,3,3.0,Waterfront,2001.0,No,1,Standard,71636274.23090231
2182.0,4,4.0,Suburbs,1996.0,Yes,1,Basic,65168677.57679905
863.0,2,2.0,Downtown,1961.0,Yes,1,Luxury,52800940.52926701
6354.0,5,5.0,Downtown,2011.0,No,3,Standard,148846357.33617333
1543.0,2,3.0,Uptown,1954.0,Yes,2,Standard,52939181.61535255
6901.0,1,1.0,Downtown,1982.0,No,1,Basic,126576276.52669504
7706.0,4,3.5,Rural,1980.0,Yes,4,Basic,133218170.14414369
5311.0,2,1.5,Downtown,,Yes,3,Luxury,116025920.68002225
614.0,5,5.0,Uptown,2012.0,Yes,1,Basic,54760919.99913513
4685.0,6,5.0,Downtown,1985.0,Yes,3,Luxury,126370051.85025921
7629.0,2,2.0,Downtown,1994.0,No,2,Luxury,155971411.13072756
2919.0,5,4.5,Suburbs,1986.0,Yes,4,Standard,86095595.00609683
3531.0,5,4.0,Suburbs,1983.0,No,3,Basic,85442142.16781801
4508.0,4,5.0,Suburbs,1978.0,Yes,1,Basic,97454333.52247016
1526.0,2,2.5,Suburbs,1980.0,Yes,1,Standard,49161766.62228205
5703.0,6,5.0,Rural,1993.0,Yes,2,Basic,114150643.35226694
3915.0,4,3.5,Suburbs,2011.0,Yes,1,Basic,91298121.58671363
4782.0,6,5.0,Uptown,1957.0,Yes,1,Luxury,115048813.07314114
1072.0,4,5.0,Suburbs,1955.0,Yes,3,Basic,49561247.96428255
6178.0,3,3.0,Suburbs,2017.0,Yes,4,Luxury,130081232.38143227
3055.0,4,4.0,Downtown,1993.0,No,3,Standard,89591839.49530175
2596.0,3,4.0,Suburbs,1976.0,Yes,1,Standard,70029586.25633064
2770.0,3,3.5,Downtown,1965.0,Yes,2,Luxury,86841427.09936814
7967.0,2,1.0,Downtown,1989.0,Yes,1,Standard,156870509.9000855
4993.0,5,5.0,Rural,1984.0,No,2,Standard,103397363.22363837
7727.0,5,5.0,Downtown,1983.0,No,2,Standard,162946863.3211431
5055.0,4,3.5,Uptown,1996.0,Yes,3,Basic,109556150.02215871
5297.0,3,2.5,Uptown,1963.0,Yes,2,Standard,103985986.32928929
4926.0,2,1.5,Uptown,1972.0,No,2,Luxury,98564842.03313571
7457.0,2,2.5,Rural,1956.0,Yes,4,Standard,124794039.259949
6776.0,5,4.0,Downtown,1983.0,Yes,1,Basic,144397660.28116888
4300.0,1,1.0,Suburbs,2010.0,Yes,4,Standard,91122147.80272794
605.0,5,5.0,Uptown,1981.0,Yes,2,Standard,57543788.63201768
862.0,3,3.5,Suburbs,1998.0,No,4,Standard,49327082.005047336
3537.0,5,5.0,Uptown,1994.0,Yes,3,Basic,96621867.94955516
4308.0,1,1.0,Suburbs,1973.0,Yes,4,Basic,78916020.90753031
7527.0,2,1.0,Waterfront,2019.0,Yes,4,Standard,164505252.92529565
954.0,4,3.5,Suburbs,1979.0,Yes,1,Standard,47017733.50051335
5448.0,3,3.0,Downtown,1963.0,Yes,3,Luxury,124616138.0917433
7275.0,3,3.0,Suburbs,1960.0,Yes,3,Standard,129109239.57308358
2589.0,5,5.0,Downtown,1964.0,Yes,3,Standard,84873285.65377511
6738.0,4,4.5,Uptown,1969.0,Yes,1,Basic,129651805.9971169
5563.0,2,3.0,Downtown,1984.0,Yes,1,Basic,115951950.0444281
6512.0,4,4.0,Uptown,1962.0,Yes,2,Luxury,135657072.3537164
7730.0,1,1.5,Suburbs,1965.0,Yes,1,Basic,119787374.53560902
